Temperatura (°C),Cisnienie p (MPa),Gestosc ρ (kg/m³),Cieplo wlasciwe cp (kJ/(kg·K)),Przewodzenie ciepla λ·10^2 (W/(m·K)),Dyfuzyjnosc cieplna a·10^8 (m²/s),Lepkosc dynamiczna μ·10^6 (N·s/m²),Lepkosc kinematyczna ν·10^6 (m²/s),Rozszerzalnosc β·10^4 (1/K),Napiecie powierzchniowe σ·10^4 (N/m),Liczba Prandtla Pr (-)
0.77,0.0006571671672,999.8847848,4.210402402,55.27497497,13.14564565,1751.331331,1.752255255,-0.5288188188,755.2740741,13.35428428
0.78,0.0006577877878,999.8845846,4.210381381,55.27727728,13.14624625,1750.848849,1.751771772,-0.5274874875,755.2592593,13.35013013
0.79,0.0006584084084,999.8843844,4.21036036,55.27957958,13.14684685,1750.366366,1.751288288,-0.5261561562,755.2444444,13.34597598
0.8,0.000659029029,999.8841842,4.210339339,55.28188188,13.14744745,1749.883884,1.750804805,-0.5248248248,755.2296296,13.34182182
0.81,0.0006596496496,999.883984,4.210318318,55.28418418,13.14804805,1749.401401,1.750321321,-0.5234934935,755.2148148,13.33766767
0.82,0.0006602702703,999.8837838,4.210297297,55.28648649,13.14864865,1748.918919,1.749837838,-0.5221621622,755.2,13.33351351
0.83,0.0006608908909,999.8835836,4.210276276,55.28878879,13.14924925,1748.436436,1.749354354,-0.5208308308,755.1851852,13.32935936
0.84,0.0006615115115,999.8833834,4.210255255,55.29109109,13.14984985,1747.953954,1.748870871,-0.5194994995,755.1703704,13.32520521
0.85,0.0006621321321,999.8831832,4.210234234,55.29339339,13.15045045,1747.471471,1.748387387,-0.5181681682,755.1555556,13.32105105
0.86,0.0006627527528,999.882983,4.210213213,55.2956957,13.15105105,1746.988989,1.747903904,-0.5168368368,755.1407407,13.3168969
0.87,0.0006633733734,999.8827828,4.210192192,55.297998,13.15165165,1746.506507,1.74742042,-0.5155055055,755.1259259,13.31274274
0.88,0.000663993994,999.8825826,4.210171171,55.3003003,13.15225225,1746.024024,1.746936937,-0.5141741742,755.1111111,13.30858859
0.89,0.0006646146146,999.8823824,4.21015015,55.3026026,13.15285285,1745.541542,1.746453453,-0.5128428428,755.0962963,13.30443443
0.9,0.0006652352352,999.8821822,4.210129129,55.3049049,13.15345345,1745.059059,1.74596997,-0.5115115115,755.0814815,13.30028028
0.91,0.0006658558559,999.881982,4.210108108,55.30720721,13.15405405,1744.576577,1.745486486,-0.5101801802,755.0666667,13.29612613
0.92,0.0006664764765,999.8817818,4.210087087,55.30950951,13.15465465,1744.094094,1.745003003,-0.5088488488,755.0518519,13.29197197
0.93,0.0006670970971,999.8815816,4.210066066,55.31181181,13.15525526,1743.611612,1.74451952,-0.5075175175,755.037037,13.28781782
0.94,0.0006677177177,999.8813814,4.210045045,55.31411411,13.15585586,1743.129129,1.744036036,-0.5061861862,755.0222222,13.28366366
